keyword,occurrences,normalized_occurrences,avg_length,context_entropy,collocation_strength,synthetic_context_adversity,gramm_score
in,1464,1.0,2.0,1131,6.1448617182654495,55,4.0
zu,1008,0.6883116883116883,2.0,1134,8.472327357390329,54,4.0
von,901,0.6151742993848257,3.0,1109,8.064963571920467,52,4.0
mit,649,0.4429254955570745,3.0,595,7.6355538099273375,49,4.0
für,579,0.3950786056049214,3.0,543,8.027895856921361,45,4.0
auf,542,0.3697881066302119,3.0,496,7.454893901530111,46,4.0
an,368,0.2508544087491456,2.0,332,7.630897961201858,47,4.0
nach,349,0.23786739576213262,4.0,331,8.605044887454973,47,4.0
aus,303,0.20642515379357484,3.0,301,8.567410958312244,44,4.0
durch,287,0.19548872180451127,5.0,284,8.55159405061715,42,4.0
bei,262,0.17840054682159945,3.0,255,8.34437433234522,42,4.0
über,235,0.1599453178400547,4.0,254,9.37492967006489,38,4.0
um,195,0.13260423786739575,2.0,149,7.401796838575488,37,4.0
bis,153,0.1038961038961039,3.0,178,11.660467517971833,32,4.0
vor,142,0.09637730690362269,3.0,120,9.78984008386224,36,4.0
unter,113,0.07655502392344497,5.0,146,11.239887603709944,28,4.0
gegen,99,0.06698564593301436,5.0,114,11.57840438036889,30,4.0
zwischen,79,0.05331510594668489,8.0,99,13.100765241044126,24,4.0
ohne,73,0.04921394395078606,4.0,98,10.736814678180412,35,4.0
wegen,45,0.03007518796992481,5.0,60,11.514668957535807,21,4.0
ob,45,0.03007518796992481,2.0,23,7.367344726103579,17,4.0
im rahmen,29,0.019138755980861243,4.0,34,11.09663550314724,18,3.0
auf grund/aufgrund,28,0.01845522898154477,4.0,33,11.834855354191353,15,3.0
seit,23,0.015037593984962405,4.0,31,10.990695124904464,23,4.0
neben,20,0.012987012987012988,5.0,26,11.33147571288105,14,4.0
ab,19,0.012303485987696514,2.0,28,13.311724317859277,16,4.0
im fall/im falle,17,0.010936431989063569,3.0,16,10.806170092459933,11,2.0
je,12,0.007518796992481203,2.0,16,13.019736962409072,14,4.0
im hinblick auf,11,0.00683526999316473,4.333333333333333,11,12.022870209928618,11,1.0
hinter,10,0.006151742993848257,6.0,16,12.874696122927427,12,4.0
im zug/im zuge,9,0.005468215994531784,2.5,14,12.986019560886954,8,3.0
in folge/infolge,8,0.004784688995215311,3.5,13,16.175280503862133,8,3.0
im lauf/im laufe,6,0.003417634996582365,3.0,6,12.078580947629964,5,3.0
außer,6,0.003417634996582365,5.0,10,16.400944902618445,7,4.0
im bereich/im bereiche,6,0.003417634996582365,4.5,10,16.032587916849124,6,2.0
im interesse,6,0.003417634996582365,5.5,9,14.051069967880617,5,3.0
im zeitpunkt,5,0.002734107997265892,5.5,5,15.798463533753027,3,3.0
im wege,5,0.002734107997265892,3.0,8,19.22353533883812,4,3.0
im zusammenhang mit,5,0.002734107997265892,5.666666666666667,7,18.47428298376307,6,1.0
im gegensatz zu,5,0.002734107997265892,4.333333333333333,9,14.679622384083507,6,1.0
anstatt,4,0.002050580997949419,7.0,6,13.870058980857308,6,3.0
zu folge/zufolge,4,0.002050580997949419,3.5,6,12.645460850316343,6,3.0
zu gunsten/zugunsten,4,0.002050580997949419,4.5,6,12.687379706165311,5,3.0
nebst,3,0.001367053998632946,5.0,6,18.860386989255904,5,4.0
im verlauf,3,0.001367053998632946,4.5,6,16.227677614017463,3,3.0
im auftrag/im auftrage,3,0.001367053998632946,4.5,5,15.18229327987248,4,3.0
im vorfeld,2,0.000683526999316473,4.5,4,18.274872056988343,4,3.0
im licht/im lichte,2,0.000683526999316473,3.5,4,17.043886024566433,4,3.0
im geist/im geiste,2,0.000683526999316473,3.5,4,14.158873343837381,4,3.0
zum zweck/zum zwecke,2,0.000683526999316473,4.0,3,15.292544535088451,3,3.0
im kreise,1,0.0,4.0,2,18.147279886340208,2,3.0
im benehmen mit,1,0.0,4.333333333333333,2,15.007997219797984,2,1.0
im dienst/im dienste,1,0.0,4.0,2,20.95463480839781,2,3.0
im vergleich zu/im vergleich mit,1,0.0,4.333333333333333,2,21.68115145333293,2,1.0
im umfang,1,0.0,4.0,2,18.632706713510448,2,2.0
im widerspruch zu/im widerspruch mit,1,0.0,5.0,2,18.329925314685344,2,1.0
samt,1,0.0,4.0,2,32.602992390407415,2,4.0
zum wohl/zum wohle,1,0.0,3.5,2,27.6961017947989,2,3.0
im verhältnis zu,1,0.0,4.666666666666667,2,27.111139294077745,2,1.0
zum zeitpunkt,1,0.0,6.0,2,11.01652548217859,2,3.0
gen,1,0.0,3.0,2,19.88274813211997,2,4.0
an stelle/anstelle,1,0.0,4.0,2,22.664883064188196,2,3.0
an hand/anhand,1,0.0,3.0,2,14.886742286613153,2,3.0
aus dem blickwinkel,0,-0.000683526999316473,5.666666666666667,0,0.0,0,1.0
in verbindung mit,0,-0.000683526999316473,5.0,0,0.0,0,1.0
aus interesse an,0,-0.000683526999316473,4.666666666666667,0,0.0,0,1.0
unter der bedingung,0,-0.000683526999316473,5.666666666666667,0,0.0,0,1.0
aus mangel an,0,-0.000683526999316473,3.6666666666666665,0,0.0,0,1.0
unter der voraussetzung,0,-0.000683526999316473,7.0,0,0.0,0,1.0
nach den prinzipien,0,-0.000683526999316473,5.666666666666667,0,0.0,0,1.0
in kontakt mit,0,-0.000683526999316473,4.0,0,0.0,0,1.0
im unterschied zu,0,-0.000683526999316473,5.0,0,0.0,0,1.0
im kontrast zu,0,-0.000683526999316473,4.0,0,0.0,0,1.0
in konkurrenz zu,0,-0.000683526999316473,4.666666666666667,0,0.0,0,1.0
nach dem prinzip,0,-0.000683526999316473,4.666666666666667,0,0.0,0,1.0
nach dem grundsatz,0,-0.000683526999316473,5.333333333333333,0,0.0,0,1.0
zum preis,0,-0.000683526999316473,4.0,0,0.0,0,2.0
zu zeiten,0,-0.000683526999316473,4.0,0,0.0,0,2.0
vom standpunkt,0,-0.000683526999316473,6.5,0,0.0,0,2.0
unter führung,0,-0.000683526999316473,6.0,0,0.0,0,2.0
ohne mitwirkung,0,-0.000683526999316473,7.0,0,0.0,0,2.0
nach art,0,-0.000683526999316473,3.5,0,0.0,0,2.0
mit ausnahme,0,-0.000683526999316473,5.5,0,0.0,0,2.0
in zeiten,0,-0.000683526999316473,4.0,0,0.0,0,2.0
in angelegenheiten,0,-0.000683526999316473,8.5,0,0.0,0,2.0
in gegenwart,0,-0.000683526999316473,5.5,0,0.0,0,2.0
in erwartung,0,-0.000683526999316473,5.5,0,0.0,0,2.0
im kreis,0,-0.000683526999316473,3.5,0,0.0,0,2.0
in richtung,0,-0.000683526999316473,5.0,0,0.0,0,2.0
in begleitung,0,-0.000683526999316473,6.0,0,0.0,0,2.0
unter dem gesichtspunkt,0,-0.000683526999316473,7.0,0,0.0,0,1.0
unter dem einfluss,0,-0.000683526999316473,5.333333333333333,0,0.0,0,1.0
unter dem druck,0,-0.000683526999316473,4.333333333333333,0,0.0,0,1.0
mit dem ziel,0,-0.000683526999316473,3.3333333333333335,0,0.0,0,1.0
in der periode,0,-0.000683526999316473,4.0,0,0.0,0,1.0
