keyword,occurrences,normalized_occurrences,avg_length,context_entropy,collocation_strength,synthetic_context_adversity,gramm_score
in,58533,1.0,2.0,22265,2.941869862207268,90,4.0
an,32171,0.5496215809885022,2.0,12380,3.177129073536402,91,4.0
zu,19340,0.3304119043958109,2.0,10542,4.33533982119906,89,4.0
gen,19170,0.3275075598380401,3.0,9103,3.6065618208217045,89,4.0
ab,9148,0.15628790596757386,2.0,4182,4.283661988257431,89,4.0
auf,8590,0.1467548220661849,3.0,4664,4.558778349456849,85,4.0
aus,8180,0.13975022636803172,3.0,4729,4.338304399106147,81,4.0
mit,8036,0.1372900756838023,3.0,4624,4.914426535607278,85,4.0
um,7897,0.13491534689833085,2.0,4360,4.394007743419187,81,4.0
von,6964,0.11897562059009448,3.0,5910,6.524132739808115,80,4.0
bei,5917,0.10108827499017649,3.0,3443,4.56821365816848,79,4.0
für,4968,0.08487519860591461,3.0,3159,6.350678962103812,78,4.0
vor,4949,0.08455059539063434,3.0,2923,4.910880321437054,79,4.0
über,4283,0.07317239847607332,4.0,2788,5.117647247900623,78,4.0
nach,3744,0.06396391778996463,4.0,2344,5.736171369963986,79,4.0
unter,3099,0.052944492850187076,5.0,2114,5.278721497705031,76,4.0
durch,2959,0.05055267968496404,5.0,2162,5.957570903278678,78,4.0
je,2723,0.046520766063588063,2.0,1957,5.22011526145865,71,4.0
ob,2590,0.04424854355662618,2.0,1445,5.105996107704445,74,4.0
gegen,1963,0.03353663745237729,5.0,1502,6.313986997925428,74,4.0
bis,1405,0.024003553550988332,3.0,1099,7.565047734458432,69,4.0
seit,1208,0.02063793073992449,4.0,823,6.104719139477857,66,4.0
zwischen,751,0.012830369193446432,8.0,788,9.624614304414028,53,4.0
ohne,664,0.01134402815505783,4.0,604,7.685516547399973,60,4.0
samt,459,0.007841730305981242,4.0,441,8.203554485271416,52,4.0
wegen,395,0.006748330001879282,5.0,365,8.453908634036548,60,4.0
wider,308,0.005261988963490681,5.0,283,8.329368923931446,56,4.0
hinter,270,0.004612782532930142,6.0,235,7.874739846524638,58,4.0
außer,268,0.004578613773426956,5.0,272,8.431061682168,52,4.0
neben,240,0.004100251140382348,5.0,205,8.241144786236895,52,4.0
auf grund/aufgrund,210,0.0035877197478345548,8.5,171,9.69301596905369,35,3.0
vermöge,164,0.0028018382792612713,7.0,163,8.774400218936083,42,4.0
in folge/infolge,52,0.0008883877470828421,7.5,60,11.439518340979784,24,3.0
zu gunsten/zugunsten,45,0.0007687970888216903,9.5,51,13.970106342289107,17,3.0
an hand/anhand,39,0.0006662908103121316,6.5,46,11.952911458058782,21,3.0
anstatt,29,0.0004954470127962004,7.0,31,8.986002887054818,17,3.0
nebst,27,0.0004612782532930142,5.0,34,18.9596506560367,14,4.0
zu folge/zufolge,26,0.00044419387354142106,7.5,36,11.740246600045971,16,3.0
an stelle/anstelle,14,0.00023918131652230366,8.5,20,12.156420860551325,14,3.0
halber,4,6.833751900637247e-05,6.0,8,21.986842249092668,5,4.0
zu ungunsten/zuungunsten,2,3.4168759503186236e-05,11.5,4,14.881843846131147,2,3.0
zu lasten/zulasten,2,3.4168759503186236e-05,8.5,4,24.010991694802993,3,3.0
mitsamt,2,3.4168759503186236e-05,7.0,4,22.026380371580384,3,4.0
mit hilfe/mithilfe,2,3.4168759503186236e-05,8.5,4,14.510803585672354,4,3.0
zuliebe,1,1.7084379751593118e-05,7.0,2,30.563277788421093,2,3.0
im gegensatz zu,0,0.0,15.0,0,0.0,0,1.0
zum preis,0,0.0,9.0,0,0.0,0,2.0
aus interesse an,0,0.0,16.0,0,0.0,0,1.0
aus mangel an,0,0.0,13.0,0,0.0,0,1.0
im zusammenhang mit,0,0.0,19.0,0,0.0,0,1.0
in verbindung mit,0,0.0,17.0,0,0.0,0,1.0
in kontakt mit,0,0.0,14.0,0,0.0,0,1.0
im widerspruch zu/im widerspruch mit,0,0.0,17.5,0,0.0,0,1.0
in hinsicht auf,0,0.0,15.0,0,0.0,0,1.0
zu zeiten,0,0.0,9.0,0,0.0,0,2.0
in konkurrenz zu,0,0.0,16.0,0,0.0,0,1.0
im unterschied zu,0,0.0,17.0,0,0.0,0,1.0
im einklang mit,0,0.0,15.0,0,0.0,0,1.0
im einvernehmen mit,0,0.0,19.0,0,0.0,0,1.0
im einverständnis mit,0,0.0,21.0,0,0.0,0,1.0
in übereinstimmung mit,0,0.0,22.0,0,0.0,0,1.0
im benehmen mit,0,0.0,15.0,0,0.0,0,1.0
in gemeinschaft mit,0,0.0,19.0,0,0.0,0,1.0
im kontrast zu,0,0.0,14.0,0,0.0,0,1.0
vom standpunkt,0,0.0,14.0,0,0.0,0,2.0
unter führung,0,0.0,13.0,0,0.0,0,2.0
in begleitung,0,0.0,13.0,0,0.0,0,2.0
in höhe,0,0.0,7.0,0,0.0,0,2.0
in gestalt,0,0.0,10.0,0,0.0,0,2.0
in form,0,0.0,7.0,0,0.0,0,2.0
bei verwendung,0,0.0,14.0,0,0.0,0,2.0
im umfang,0,0.0,9.0,0,0.0,0,2.0
im bereich/im bereiche,0,0.0,10.5,0,0.0,0,2.0
im fall/im falle,0,0.0,7.5,0,0.0,0,2.0
in richtung,0,0.0,11.0,0,0.0,0,2.0
ohne mitwirkung,0,0.0,15.0,0,0.0,0,2.0
im kreis,0,0.0,8.0,0,0.0,0,2.0
in erwartung,0,0.0,12.0,0,0.0,0,2.0
in gegenwart,0,0.0,12.0,0,0.0,0,2.0
in angelegenheiten,0,0.0,18.0,0,0.0,0,2.0
in zeiten,0,0.0,9.0,0,0.0,0,2.0
mit ausnahme,0,0.0,12.0,0,0.0,0,2.0
nach art,0,0.0,8.0,0,0.0,0,2.0
im hinblick auf,0,0.0,15.0,0,0.0,0,1.0
für die dauer,0,0.0,13.0,0,0.0,0,1.0
in beziehung auf,0,0.0,16.0,0,0.0,0,1.0
in anlehnung an,0,0.0,15.0,0,0.0,0,1.0
für den fall,0,0.0,12.0,0,0.0,0,1.0
in der sphäre,0,0.0,13.0,0,0.0,0,1.0
in den grenzen,0,0.0,14.0,0,0.0,0,1.0
in den reihen,0,0.0,13.0,0,0.0,0,1.0
in der reihe/aus der reihe,0,0.0,12.5,0,0.0,0,1.0
in der zeit,0,0.0,11.0,0,0.0,0,1.0
in der epoche,0,0.0,13.0,0,0.0,0,1.0
in der periode,0,0.0,14.0,0,0.0,0,1.0
mit dem ziel,0,0.0,12.0,0,0.0,0,1.0
nach dem grundsatz,0,0.0,18.0,0,0.0,0,1.0
nach dem prinzip,0,0.0,16.0,0,0.0,0,1.0
nach den prinzipien,0,0.0,19.0,0,0.0,0,1.0
unter der voraussetzung,0,0.0,23.0,0,0.0,0,1.0
unter der bedingung,0,0.0,19.0,0,0.0,0,1.0
unter dem gesichtspunkt,0,0.0,23.0,0,0.0,0,1.0
unter dem einfluss,0,0.0,18.0,0,0.0,0,1.0
unter dem druck,0,0.0,15.0,0,0.0,0,1.0
am rand,0,0.0,7.0,0,0.0,0,2.0
aus der perspektive,0,0.0,19.0,0,0.0,0,1.0
aus dem grund,0,0.0,13.0,0,0.0,0,1.0
vom gesichtspunkt aus,0,0.0,21.0,0,0.0,0,1.0
in abhängigkeit von,0,0.0,19.0,0,0.0,0,1.0
